"581","PIATA  DOROBANTILOR"
"582","BD.DACIA"
"583","BD.UNIRII"
"584","PIATA TIMPURI NOI"
"585","BD. ABATORULUI"
"586","BD.TINERETULUI"
"587","ANCUTA BANEASA"
"588","MIRCEA ELIADE"
"589","GEORGE CALINESCU"
"590","PIATA FLOREASCA"
"591","STADIONUL DINAMO"
"592","SOS.STEFAN CEL MARE"
"593","GLINKA"
"594","C.E.T. VEST MILITARI"
"595","FIROS"
"596","ITIA"
"597","COMAT AUTO"
"598","PIATA ARSENALULUI"
"599","CASA ACADEMIEI"
"600","PALATUL PARLAMENTULUI"
"601","BD. B.P.HASDEU"
"602","UNIV. NATIONALA DE APARARE"
"603","BD. PRECIZIEI"
"604","CARREFOUR MILITARI"
"605","COMPLEX COMERCIAL WEST PARK"
"606","SCOALA GENERALA 309"
"607","PETUNIEI"
"608","CARTIER MILITARI"
"609","COMPLEX COMERCIAL MILITARI"
"610","CENTRUL COMERCIAL MILITARI"
"611","PIATA FERENTARILOR"
"612","CAP. PREDA"
"613","BUZOIENI"
"614","MUNTII CARPATI"
"615","ROCAR"
"616","SUHAIA"
"617","DOROHOI"
"618","CONSTANTA"
"619","SCUT - GHERASE"
"620","SCOALA GENERALA 145"
"621","DUMITRU SLUGERU"
"622","DIMITRIE GROZDEA"
"623","HELIADE INTRE VII"
"624","HOTEL PARC"
"625","CITY CENTER"
"626","CASA PRESEI"
"627","MAGAZIILE 16 FEBRUARIE"
"628","CONDAX"
"629","MUZEUL CULTURII ROMILOR"
"630","PODUL ILFOVAT"
"631","RUSETU"
"632","MEHADIEI"
"633","BD. CEAHLAU"
"634","SPITALUL DR. PANAIT SARBU"
"635","PASCAL CRISTIAN"
"636","TIBLES"
"637","SOS. CRANGASI"
"638","GIULESTI SARBI"
"639","RASADNITEI"
"640","SCOALA"
"641","SCULPTORILOR"
"642","INTRAREA CARAMIDARIEI"
"643","POIANA LACULUI"
"644","POIANA MUNTELUI"
"645","PIATA VALEA IALOMITEI"
"646","VALEA DOFTANEI"
"647","PARCUL CONSTANTIN BRANCUSI"
"648","CARTIER CONSTANTIN BRANCUSI"
"649","COLOANA INFINITULUI"
"650","MASA TACERII"
"651","DRUMUL TABEREI 85"
"652","PARCUL SEBASTIAN"
"653","INCLINATA"
